"SUPERPATHWAY"	"SUBPATHWAY"	"COMPID"	"PLATFORM"	"RI"	"MASS"	"CAS"	"PUBCHEM"	"KEGG"	"HMDBID"
"21-hydroxypregnenolone monosulfate 1"	"Lipid"	"Steroid"	37174	"203"	4616	411.18468	"88378-34-1"	"174681"	""	""
"glycolithocholate"	"Lipid"	"Secondary Bile Acid Metabolism"	31912	"203"	5338	432.31193	"474-74-8"	"115245"	"C15557"	"HMDB00698"
"x-17690"	""	""	40787	"203"	2882.4	245.04848	""	""	""	""
"gamma-cehc glucuronide"	"Cofactors and Vitamins"	"Tocopherol Metabolism"	42381	"203"	2540	439.16097	""	""	""	""
"x-11360"	""	""	32677	"202"	1880	245.14949	""	""	""	""
"x-14663"	""	""	36590	"203"	4336	288.61951	""	""	""	""
"x-12101"	""	""	33516	"202"	1646	164.07398	""	""	""	""
"x-18779"	""	""	42154	"203"	1944.7	209.0453	""	""	""	""
"n-acetylglutamate"	"Amino Acid"	"Glutamate Metabolism"	15720	"202"	1492	190.071	"1430871"	"70914"	"C00624"	"HMDB01138"
"glycocholate"	"Lipid"	"Primary Bile Acid Metabolism"	18476	"202"	5213	466.31632	"475-31-0;863-57-0"	"10140"	"C01921"	"HMDB00138"
"valerate (5:0)"	"Lipid"	"Short Chain Fatty Acid"	33443	"203"	1774	101.0608	"109-52-4"	"7991"	"C00803"	"HMDB00892"
"x-19350"	""	""	42826	"203"	1149	394.12851	""	""	""	""
"x-14588"	""	""	36515	"203"	648	150.88628	""	""	""	""
"x-20587"	""	""	45188	"202"	2223.2	279.13355	""	""	""	""
"asparagine"	"Amino Acid"	"Alanine and Aspartate Metabolism"	34283	"GC/MS"	1854	232.2	"70-47-3"	"6267"	"C00152"	"HMDB00168"
"x-14619"	""	""	36546	"202"	849	160.13292	""	""	""	""
"x-19807"	""	""	43558	"203"	656.2	92.92807	""	""	""	""
"alliin"	"Xenobiotics"	"Food Component/Plant"	41494	"202"	1028.8	178.05324	"556-27-4"	"87310"	"C08265"	"HMDB33592"
"beta-sitosterol"	"Lipid"	"Sterol"	27414	"GC/MS"	2380.8	357.4	"83-46-5"	"222284"	"C01753"	"HMDB00852"
"x-12442"	""	""	33884	"203"	5286	223.17091	""	""	""	""
"x-17469"	""	""	40298	"203"	4870.3	227.1203	""	""	""	""
"x-12802"	""	""	34485	"202"	2731	318.19151	""	""	""	""
"cortisone"	"Lipid"	"Steroid"	1769	"202"	4420	361.20095	"53-06-5"	"222786"	"C00762"	"HMDB02802"
"x-18609"	""	""	41843	"203"	4430.1	361.2013	""	""	""	""
"pelargonate (9:0)"	"Lipid"	"Medium Chain Fatty Acid"	12035	"203"	4847	157.1234	"112-05-0"	"8158"	"C01601"	"HMDB00847"
"x-15606"	""	""	37855	"203"	3196	246.95	""	""	""	""
"x-17445"	""	""	40274	"203"	4515.2	327.6525	""	""	""	""
"5alpha-pregnan-3beta,20alpha-diol monsulfate 2"	"Lipid"	"Steroid"	37200	"203"	5043	399.22106	""	""	""	""
"hydroxyisovaleroylcarnitine (c5)"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	35433	"202"	1683	262.1649	"99159-87-2"	""	""	""
"5alpha-androstan-3alpha,17alpha-diol monosulfate"	"Lipid"	"Steroid"	37183	"203"	5183	371.18976	""	""	""	""
"x-16975"	""	""	39561	"202"	2291.8	255.13383	""	""	""	""
"pivaloylcarnitine (c5)"	"Xenobiotics"	"Drug"	35432	"202"	2370	246.16999	""	"126894"	""	"HDMB41993"
"l-urobilin"	"Cofactors and Vitamins"	"Hemoglobin and Porphyrin Metabolism"	40173	"202"	4091	595.34902	"34217-90-8"	"5280818"	"C05793"	"HMDB04159"
"cis-4-decenoyl carnitine"	"Lipid"	"Fatty Acid Metabolism(Acyl Carnitine)"	38178	"202"	4404	314.23259	"98930-66-6"	""	""	""
"phosphate"	"Energy"	"Oxidative Phosphorylation"	11438	"GC/MS"	1307.7	298.9	"7664-38-2"	"1061"	"C00009"	"HMDB01429"
"x-14632"	""	""	36559	"203"	4132	287.612	""	""	""	""
"x-18371"	""	""	41590	"202"	1846	265.08508	""	""	""	""
"n-delta-acetylornithine"	"Amino Acid"	"Urea cycle; Arginine and Proline Metabolism"	43249	"202"	836.2	175.10772	""	"9920500"	""	""
"x-11541"	""	""	32858	"203"	4984	398.93759	""	""	""	""
"nicotinamide"	"Cofactors and Vitamins"	"Nicotinate and Nicotinamide Metabolism"	594	"202"	1267	123.05529	"98-92-0"	"936"	"C00153"	"HMDB01406"
"cinnamoylglycine"	"Xenobiotics"	"Food Component/Plant"	38637	"203"	3139	204.06661	"16534-24-0"	"709625"	""	""
"pyridoxal"	"Cofactors and Vitamins"	"Vitamin B6 Metabolism"	1651	"202"	1210	168.06552	"65-22-5"	"1050"	"C00250"	"HMDB01545"
"d-urobilin"	"Cofactors and Vitamins"	"Hemoglobin and Porphyrin Metabolism"	40084	"202"	4621	589.30207	"3947-38-4"	"6276321"	"C05795"	"HMDB04161"
"5-sulfosalicylate"	"Xenobiotics"	"Drug"	21107	"203"	733	216.98123	"97-05-2"	"7322"	"C16199"	"HMDB11725"
"x-12212"	""	""	33633	"203"	3607	229.01713	""	""	""	""
"x-16944"	""	""	39527	"203"	3693.5	141.09175	""	""	""	""
"x-16089"	""	""	38532	"203"	4545.1	321.14699	""	""	""	""
"x-17325"	""	""	40123	"202"	3542.6	186.11217	""	""	""	""
"x-12760"	""	""	34370	"202"	2001	302.15993	""	""	""	""
"sphingosine 1-phosphate"	"Lipid"	"Sphingolipid Metabolism"	34445	"202"	5512	380.25604	"26993-30-6"	"5283560"	"C06124"	"HMDB00277"
"trans-urocanate"	"Amino Acid"	"Histidine Metabolism"	607	"202"	1119	139.05021	"104-98-3"	"736715"	"C00785"	"HMDB00301"
"1-methylnicotinamide"	"Cofactors and Vitamins"	"Nicotinate and Nicotinamide Metabolism"	27665	"202"	688	137.07094	"1005-24-9"	"10129985"	""	""
"x-12206"	""	""	33627	"203"	654	254.98178	""	""	""	""
"x-11850"	""	""	33195	"203"	3228	226.01748	""	""	""	""
"x-19437"	""	""	42913	"203"	1150.1	397.148	""	""	""	""
"2-aminooctanoate"	"Lipid"	"Fatty Acid, Amino"	43343	"202"	3384	160.1332	"644-90-6"	"69522"	""	"HMDB00991"
"x-12450"	""	""	33892	"203"	5397	251.2012	""	""	""	""
"homoarginine"	"Amino Acid"	"Urea cycle; Arginine and Proline Metabolism"	22137	"202"	656	189.13461	"156-86-5"	"9085"	"C01924"	"HMDB00670"
"uracil"	"Nucleotide"	"Pyrimidine Metabolism, Uracil containing"	605	"202"	1149	113.03456	"66-22-8"	"1174"	"C00106"	"HMDB00300"
"cysteine-glutathione disulfide"	"Amino Acid"	"Glutathione Metabolism"	35159	"202"	821	427.09519	"13081-14-6"	"4247235"	""	"HMDB00656"
"n-acetylaspartate (naa)"	"Amino Acid"	"Alanine and Aspartate Metabolism"	22185	"202"	1222	176.05535	"997-55-7;997-55-7"	"65065"	"C01042"	"HMDB00812"
"carnitine"	"Lipid"	"Carnitine Metabolism"	15500	"202"	702	162.11247	"461-05-2"	"10917"	"C00318"	"HMDB00062"
"2-oleoyl-gpc (18:1)"	"Lipid"	"Lysolipid"	35254	"202"	5640	522.35542	""	""	""	""
"x-11904"	""	""	33249	"203"	3612	226.0175	""	""	""	""
"x-10346"	""	""	33782	"203"	3989	259.02761	""	""	""	""
"x-18987"	""	""	42387	"202"	5411.6	399.24927	""	""	""	""
"x-17146"	""	""	39810	"203"	4856.4	375.18079	""	""	""	""
"valylphenylalanine"	"Peptide"	"Dipeptide"	40688	"202"	2790	265.15467	"3918-92-1"	"6993119;6993120"	""	""
"x-12123"	""	""	33538	"202"	1789	256.1179	""	""	""	""
"phenylalanine"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	64	"202"	2056	166.08626	"63-91-2"	"6140"	"C00079"	"HMDB00159"
"inositol 1-phosphate (i1p)"	"Lipid"	"Inositol Metabolism"	1481	"GC/MS"	2057.8	318.1	"106032-59-1"	"440194"	"C04006"	"HMDB00213"
"x-16803"	""	""	39396	"202"	4785.5	466.31567	""	""	""	""
"x-18899"	""	""	42284	"203"	3700.5	337.14151	""	""	""	""
"n-acetyl-aspartyl-glutamate (naag)"	"Amino Acid"	"Glutamate Metabolism"	35665	"202"	1563	305.09795	"3106-85-2"	"5255"	"C12270"	"HMDB01067"
"x-15306"	""	""	37553	"202"	2994	275.14227	""	""	""	""
"2-linoleoyl-gpe (18:2)"	"Lipid"	"Lysolipid"	36593	"203"	5650	476.27826	""	""	""	""
"x-11837"	""	""	33248	"203"	2484	283.08252	""	""	""	""
"guanidinosuccinate"	"Amino Acid"	"Guanidino and Acetamido Metabolism"	32446	"202"	737	176.06659	"6133-30-8"	"97856"	"C03139"	"HMDB03157"
"x-12688"	""	""	34297	"202"	1210	203.13919	""	""	""	""
"methylpalmitate (15 or 2)"	"Lipid"	"Fatty Acid, Branched"	38768	"203"	5698	269.2486	""	""	""	""
"1-linoleoyl-gpe (18:2)"	"Lipid"	"Lysolipid"	32635	"203"	5725	476.27826	""	"52925130"	""	"HMDB11507"
"x-13481"	""	""	35245	"202"	1469	200.12784	""	""	""	""
"methylphosphate"	"Nucleotide"	"Purine and Pyrimidine Metabolism"	37070	"GC/MS"	1221	241	"7023-27-0"	"13130"	""	""
"3-hydroxyhippurate"	"Xenobiotics"	"Benzoate Metabolism"	39600	"203"	1670	194.04588	"1637-75-8"	"450268"	""	"HMDB06116"
"2-hydroxyoctanoate"	"Lipid"	"Fatty Acid, Monohydroxy"	22036	"203"	3781	159.10266	"617-73-2"	"94180"	""	"HMDB02264"
"x-11876"	""	""	33221	"203"	5257	635.38007	""	""	""	""
"1-stearoyl-gpc (18:0)"	"Lipid"	"Lysolipid"	33961	"202"	5844	524.37107	"19420-57-6"	"497299"	""	""
"x-11483"	""	""	32800	"203"	4443	505.20716	""	""	""	""
"x-17162"	""	""	39827	"202"	4040.8	593.33381	""	""	""	""
"alpha-hydroxyisocaproate"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	22132	"203"	1854	131.07136	"10303-64-7"	"83697"	"C03264"	"HMDB00746"
"tyrosine"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	1299	"202"	1516	182.08117	"60-18-4"	"6057"	"C00082"	"HMDB00158"
"1-linoleoyl-gpi (18:2)"	"Lipid"	"Lysolipid"	36594	"203"	5487	595.28888	""	""	""	""
"taurocholenate sulfate"	"Lipid"	"Secondary Bile Acid Metabolism"	32807	"203"	4762	279.61422	""	""	""	""
"methionine"	"Amino Acid"	"Methionine, Cysteine, SAM and Taurine Metabolism"	1302	"202"	1252	150.05833	"63-68-3"	"6137"	"C00073"	"HMDB00696"
"x-17145"	""	""	39809	"203"	3844.7	257.1753	""	""	""	""
"n-acetylisoleucine"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	33967	"202"	3370	174.11247	"3077-46-1"	"2802421"	""	""
"10-nonadecenoate (19:1n9)"	"Lipid"	"Long Chain Fatty Acid"	33972	"203"	5775	295.26425	"73033-09-7"	"5312513"	""	"HMDB13622"
"2-linolenoylglycerophosphocholine(18:3n3)"	"Lipid"	"Lysolipid"	45869	"202"	5488.2	518.32412	""	""	""	""
"isobutyrylcarnitine (c4)"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	33441	"202"	1941	232.15434	"25518-49-4"	"168379"	""	"HMDB00736"
"3-methylcrotonylglycine"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	31940	"202"	2580	158.08117	"33008-07-0"	"169485"	""	"HMDB00459"
"3-phenylpropionate (hydrocinnamate)"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	15749	"203"	2830	149.0608	"501-52-0"	"107"	"C05629"	"HMDB00764"
"x-13698"	""	""	35507	"202"	1900	413.12365	""	""	""	""
"x-18887"	""	""	42272	"203"	2269.3	328.15149	""	""	""	""
"x-13543"	""	""	35321	"202"	1096	484.11714	""	""	""	""
"x-14662"	""	""	36589	"203"	4327	263.62768	""	""	""	""
"delta-tocopherol"	"Cofactors and Vitamins"	"Tocopherol Metabolism"	33418	"GC/MS"	2232	474.4	"119-13-1"	"92094"	"C14151"	"HMDB02902"
"x-15563"	""	""	37812	"202"	4749	490.17017	""	""	""	""
"tauroursodeoxycholate"	"Lipid"	"Secondary Bile Acid Metabolism"	39378	"203"	5002.6	498.28948	"14605-22-2"	"9848818"	""	"HMDB00874"
"2-aminobutyrate"	"Amino Acid"	"Methionine, Cysteine, SAM and Taurine Metabolism"	32348	"202"	758	104.07061	"1492-24-6"	"439691"	"C02261"	"HMDB00650"
"x-18916"	""	""	42301	"203"	4610.9	297.1707	""	""	""	""
"prolylhydroxyproline"	"Amino Acid"	"Urea cycle; Arginine and Proline Metabolism"	35127	"202"	960	229.11829	"18684-24-7"	"11673055"	""	"HMDB06695"
"leukotriene b4"	"Lipid"	"Eicosanoid"	37530	"203"	5153	335.22278	"71160-24-2"	"5280492"	"C02165"	"HMDB01085"
"x-15562"	""	""	37811	"202"	4686	470.20139	""	""	""	""
"x-12627"	""	""	34221	"203"	5732	357.28015	""	""	""	""
"tyrosylglutamine"	"Peptide"	"Dipeptide"	41459	"202"	1437	310.13975	"28252-40-6"	""	""	""
"gamma-glutamylthreonine"	"Peptide"	"Gamma-glutamyl Amino Acid"	33364	"202"	977	249.10812	"5652-48-2"	""	""	""
"x-15605"	""	""	37854	"203"	3119	270.05411	""	""	""	""
"10-heptadecenoate (17:1n7)"	"Lipid"	"Long Chain Fatty Acid"	33971	"203"	5558	267.23295	"29743-97-3"	"5312435"	""	""
"x-02249"	""	""	32587	"203"	4025	267.12323	""	""	""	""
"margarate (17:0)"	"Lipid"	"Long Chain Fatty Acid"	1121	"203"	5733	269.2486	"506-12-7"	"10465"	""	"HMDB02259"
"bilirubin (e,e)"	"Cofactors and Vitamins"	"Hemoglobin and Porphyrin Metabolism"	32586	"202"	4625	585.27076	"114-25-0"	"5315454"	""	""
"x-15559"	""	""	37808	"202"	4418	450.23431	""	""	""	""
"x-20000"	""	""	43776	"202"	637.9	80.94772	""	""	""	""
"arabonate"	"Cofactors and Vitamins"	"Ascorbate and Aldarate Metabolism"	37516	"GC/MS"	1736	292.1	"7643-75-7"	"122045"	"C00878"	"HMDB00539"
"x-14626"	""	""	36553	"203"	4856	288.61888	""	""	""	""
"taurodeoxycholate"	"Lipid"	"Secondary Bile Acid Metabolism"	12261	"203"	5243	498.28948	"207737-97-1"	"2733768"	"C05463"	"HMDB00896"
"3-methyl-2-oxobutyrate"	"Amino Acid"	"Leucine, Isoleucine and Valine Metabolism"	21047	"203"	1489	115.04006	"3715-29-5"	"49"	"C00141"	"HMDB00019"
"1-pentadecanoylglycerophosphocholine (15:0)"	"Lipid"	"Lysolipid"	37418	"202"	5563	482.32412	""	""	""	""
"amp"	"Nucleotide"	"Purine Metabolism, Adenine containing"	32342	"202"	1210	348.07037	"149022-20-8"	"6083"	"C00020"	"HMDB00045"
"x-15728"	""	""	37977	"203"	3972	231.03281	""	""	""	""
"1-linoleoylglycerol (18:2)"	"Lipid"	"Monoacylglycerol"	27447	"203"	6226	279.23295	"2277-28-3"	"5283469"	""	""
"1-linolenoylglycerol"	"Lipid"	"Monoacylglycerol"	34393	"203"	5795	277.2173	""	"53480978"	""	"HMDB11569"
"alpha-tocopherol"	"Cofactors and Vitamins"	"Tocopherol Metabolism"	1561	"GC/MS"	2305.4	502.5	"59-02-9;10191-41-0"	"14985"	"C02477"	"HMDB01893"
"4-hydroxyphenylpyruvate"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	1669	"203"	1716	179.03498	"156-39-8"	"979"	"C01179"	"HMDB00707"
"indolebutyrate"	"Amino Acid"	"Tryptophan Metabolism"	34402	"202"	4449	204.10191	"133-32-4"	"8617"	"C11284"	"HMDB02096"
"1-linoleoyl-gpc (18:2)"	"Lipid"	"Lysolipid"	34419	"202"	5574	520.33977	""	"11988421"	"C04100"	""
"citrulline"	"Amino Acid"	"Urea cycle; Arginine and Proline Metabolism"	2132	"202"	715	176.10297	"372-75-8"	"9750"	"C00327"	"HMDB00904"
"taurohyocholate"	"Lipid"	"Secondary Bile Acid Metabolism"	42603	"203"	5000	514.28439	""	""	""	""
"2-arachidonoyl-gpc (20:4)"	"Lipid"	"Lysolipid"	35256	"202"	5524	544.33977	""	""	""	""
"x-13429"	""	""	35187	"203"	4880	263.62767	""	""	""	""
"3-aminoisobutyrate"	"Nucleotide"	"Pyrimidine Metabolism, Thymine containing"	1566	"GC/MS"	1252.2	102	"10569-72-9;214139-20-5"	"64956"	"C05145"	"HMDB03911"
"acetylphosphate"	"Energy"	"Oxidative Phosphorylation"	15488	"GC/MS"	1263	211	"94249-01-1"	"186"	"C00227"	"HMDB01494"
"x-18927"	""	""	42312	"202"	2678.8	330.1655	""	""	""	""
"campesterol"	"Lipid"	"Sterol"	39511	"GC/MS"	2353	343.4	"474-62-4"	"173183"	"C01789"	"HMDB02869"
"x-17269"	""	""	39979	"203"	4530.2	155.10783	""	""	""	""
"bilirubin (e,z or z,e)"	"Cofactors and Vitamins"	"Hemoglobin and Porphyrin Metabolism"	34106	"202"	4958	585.27076	""	"5799469"	""	""
"histidine"	"Amino Acid"	"Histidine Metabolism"	59	"203"	757	154.0622	"5934-29-2"	"6274"	"C00135"	"HMDB00177"
"p-cresol sulfate"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	36103	"203"	2896	187.00705	"3233-57-7"	"4615423"	"C01468"	"HMDB11635"
"x-18921"	""	""	42306	"203"	4887	193.12312	""	""	""	""
"x-11299"	""	""	32616	"203"	4893	507.22275	""	""	""	""
"x-17453"	""	""	40282	"202"	4000.6	591.3165	""	""	""	""
"betaine"	"Amino Acid"	"Glycine, Serine and Threonine Metabolism"	3141	"202"	721	118.08626	"107-43-7"	"247"	"C00719"	"HMDB00043"
"x-02269"	""	""	32549	"203"	1551	255.08692	""	""	""	""
"2-piperidinone"	"Xenobiotics"	"Food Component/Plant"	43400	"202"	2034	100.0757	"675-20-7"	"12665"	""	""
"glycolate (hydroxyacetate)"	"Xenobiotics"	"Chemical"	15737	"GC/MS"	1119	177	"79-14-1"	"757"	"C00160"	"HMDB00115"
"glycerol"	"Lipid"	"Glycerolipid Metabolism"	15122	"GC/MS"	1311	205	"56-81-5"	"753"	"C00116"	"HMDB00131"
"x-12850"	""	""	34533	"203"	4847	263.62766	""	""	""	""
"1-arachidoyl-gpc (20:0)"	"Lipid"	"Lysolipid"	45456	"202"	6100	552.40237	""	"24779473"	"C04230"	"HMDB10390"
"triethanolamine"	"Xenobiotics"	"Chemical"	22202	"GC/MS"	1620	262	"102-71-6"	"7618"	"C06771"	"HMDB32538"
"x-17653"	""	""	40595	"203"	5117	365.26852	""	""	""	""
"linoleate (18:2n6)"	"Lipid"	"Polyunsaturated Fatty Acid (n3 and n6)"	1105	"203"	5533	279.23295	"60-33-3"	"5280450"	"C01595"	"HMDB00673"
"x-11381"	""	""	32698	"202"	1126	186.11276	""	""	""	""
"glycodeoxycholate"	"Lipid"	"Secondary Bile Acid Metabolism"	18477	"202"	5341	450.3214	"360-65-6"	"3035026"	"C05464"	"HMDB00631"
"thymol sulfate"	"Xenobiotics"	"Food Component/Plant"	36095	"203"	4395	229.054	"89-83-8"	""	"C09908"	"HMDB01878"
"x-11469"	""	""	32786	"202"	3874	239.09164	""	""	""	""
"glycochenodeoxycholate"	"Lipid"	"Primary Bile Acid Metabolism"	32346	"203"	5245	448.30684	"16564-43-5"	"12544"	"C05466"	"HMDB00637"
"xylulose"	"Carbohydrate"	"Pentose Metabolism"	18344	"GC/MS"	1668	306.1	"551-84-8"	"5289590"	"C00310"	"HMDB00654"
"ergothioneine"	"Xenobiotics"	"Food Component/Plant"	37459	"202"	847	230.09578	"58511-63-0"	"3032311"	"C05570"	"HMDB03045"
"glycohyocholate"	"Lipid"	"Secondary Bile Acid Metabolism"	42574	"203"	5010	464.30176	""	""	""	""
"heme"	"Cofactors and Vitamins"	"Hemoglobin and Porphyrin Metabolism"	41754	"202"	5057	616.1762	"14875-96-8"	"26945"	"C00032"	"HMDB03178"
"hydroxyproline"	"Amino Acid"	"Urea cycle; Arginine and Proline Metabolism"	32306	"202"	705	132.06552	"51-35-4"	"5810"	"C01157"	"HMDB00725"
"x-19411"	""	""	42887	"203"	1308	383.1225	""	""	""	""
"nonadecanoate (19:0)"	"Lipid"	"Long Chain Fatty Acid"	1356	"203"	6073	297.2799	"646-30-0"	"12591"	"C16535"	"HMDB00772"
"x-16572"	""	""	39145	"203"	4157.1	155.10753	""	""	""	""
"glycolithocholate sulfate"	"Lipid"	"Secondary Bile Acid Metabolism"	32620	"203"	5015	512.26874	"15324-64-8"	"72222"	"C11301"	"HMDB02639"
"x-10593"	""	""	33066	"202"	1256	172.09692	""	""	""	""
"x-12798"	""	""	34481	"202"	1860	240.10224	""	""	""	""
"ornithine"	"Amino Acid"	"Urea cycle; Arginine and Proline Metabolism"	1493	"202"	598	133.09716	"3184-13-2"	"6262"	"C00077"	"HMDB03374"
"pentadecanoate (15:0)"	"Lipid"	"Long Chain Fatty Acid"	1361	"GC/MS"	1853.5	299.2	"1002-84-2;10002-84-2"	"13849"	"C16537"	"HMDB00826"
"arachidate (20:0)"	"Lipid"	"Long Chain Fatty Acid"	44679	"203"	6282	311.29555	"506-30-9"	"10467"	"C06425"	"HMDB02212"
"x-11308"	""	""	32625	"203"	5163	365.26915	""	""	""	""
"1,5-anhydroglucitol (1,5-ag)"	"Carbohydrate"	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	20675	"203"	808	163.06119	"154-58-5"	"64960"	"C07326"	"HMDB02712"
"gamma-tocopherol"	"Cofactors and Vitamins"	"Tocopherol Metabolism"	33420	"GC/MS"	2264	488.4	"54-28-4"	"14986"	"C02483"	"HMDB01492"
"x-13671"	""	""	35464	"203"	5226	315.25369	""	""	""	""
"phenylcarnitine"	"Xenobiotics"	"Chemical"	43265	"202"	2595	266.13869	"105450-08-6"	""	""	""
"x-16653"	""	""	39229	"203"	4505.4	244.90773	""	""	""	""
"x-12462"	""	""	33907	"202"	1269	148.04298	""	""	""	""
"1-nonadecanoylglycerophosphocholine(19:0)"	"Lipid"	"Lysolipid"	44561	"202"	5917.4	538.38672	"108273-88-7"	""	""	""
"linolenate (18:3n3 or 3n6)"	"Lipid"	"Polyunsaturated Fatty Acid (n3 and n6)"	34035	"203"	5450	277.2173	""	"5280934"	"C06427"	""
"indolepropionate"	"Amino Acid"	"Tryptophan Metabolism"	32405	"202"	4150	190.08626	"830-96-6"	"3744"	""	"HMDB02302"
"glycoursodeoxycholate"	"Lipid"	"Secondary Bile Acid Metabolism"	39379	"203"	5018.1	448.30684	"64480-66-6"	"12310288"	""	"HMDB00708"
"taurolithocholate 3-sulfate"	"Lipid"	"Secondary Bile Acid Metabolism"	36850	"203"	5002	280.62205	"64936-83-0"	"440071"	"C03642"	"HMDB02580"
"glutaroylcarnitine (c5)"	"Amino Acid"	"Lysine Metabolism"	35439	"202"	1565	276.14417	"102636-82-8"	"71464488"	""	"HMDB13130"
"threonine"	"Amino Acid"	"Glycine, Serine and Threonine Metabolism"	1284	"202"	713	120.06552	"72-19-5"	"6288"	"C00188"	"HMDB00167"
"x-11338"	""	""	32655	"202"	1049	318.12959	""	""	""	""
"x-12170"	""	""	33590	"202"	2534	181.06078	""	""	""	""
"x-14658"	""	""	36585	"203"	4812	288.61884	""	""	""	""
"taurocholate"	"Lipid"	"Primary Bile Acid Metabolism"	18497	"203"	5122	514.28439	"145-42-6"	"6675"	"C05122"	"HMDB00036"
"imidazole propionate"	"Amino Acid"	"Histidine Metabolism"	40730	"202"	1011.7	141.06586	"1074-59-5"	"70630"	""	"HMDB02271"
"4-methylcatechol sulfate"	"Xenobiotics"	"Benzoate Metabolism"	42493	"203"	2666.4	203.00196	""	""	""	""
"x-19330"	""	""	42806	"202"	2773	202.04739	""	""	""	""
"x-12112"	""	""	33527	"202"	1243	142.08628	""	""	""	""
"x-11880"	""	""	33225	"203"	5378	537.41502	""	""	""	""
"2-linoleoyl-gpc (18:2)"	"Lipid"	"Lysolipid"	35257	"202"	5544	520.33977	""	""	""	""
"pyrophosphate (ppi)"	"Energy"	"Oxidative Phosphorylation"	2078	"GC/MS"	1642.3	451	"1466-09-3;2466-09-3"	"644102"	"C00013"	"HMDB00250"
"hippurate"	"Xenobiotics"	"Benzoate Metabolism"	15753	"203"	2136	178.05096	"495-69-2"	"464"	"C01586"	"HMDB00714"
"x-10445"	""	""	32894	"202"	1939	250.09342	""	""	""	""
"x-17654"	""	""	40596	"203"	5204.6	365.26892	""	""	""	""
"gamma-cehc"	"Cofactors and Vitamins"	"Tocopherol Metabolism"	37462	"203"	3818	263.12888	"178167-75-4"	"133098"	""	"HMDB01931"
"x-16935"	""	""	39518	"203"	4465.5	447.27438	""	""	""	""
"x-11372"	""	""	32689	"203"	5303	467.37329	""	""	""	""
"taurochenodeoxycholate"	"Lipid"	"Primary Bile Acid Metabolism"	18494	"203"	5218	498.28948	"6009-98-9"	"387316"	"C05465"	"HMDB00951"
"phenol sulfate"	"Amino Acid"	"Phenylalanine and Tyrosine Metabolism"	32553	"203"	2150	172.9914	"937-34-8"	"74426"	"C02180"	"HMDB60015"
"x-18914"	""	""	42299	"203"	4542.8	266.8888	""	""	""	""
"x-18249"	""	""	41353	"203"	4403.7	220.9416	""	""	""	""
"5,6-dihydrothymine"	"Nucleotide"	"Pyrimidine Metabolism, Thymine containing"	1418	"202"	1639	129.06586	"696-04-8"	"93556"	"C00906"	"HMDB00079"
